Digital Ghosts - Unicorn Heads,"[-0.1499958  -0.1570777  -0.16273455 ...  0.00179103  0.00101698
 -0.00228522]"
Digital Ghosts - Unicorn Heads,"[-0.00068811 -0.00034385 -0.00132999 ...  0.0053098   0.00419378
  0.00913623]"
Digital Ghosts - Unicorn Heads,"[ 0.00420644  0.00212931  0.00554542 ... -0.00127139  0.00227161
  0.00208956]"
Digital Ghosts - Unicorn Heads,"[-0.01973703 -0.01173903 -0.00732377 ...  0.03139035  0.04175593
  0.07146101]"
Digital Ghosts - Unicorn Heads,"[ 0.04274886  0.03012507  0.03026017 ...  0.02771127  0.01498025
 -0.00525088]"
Digital Ghosts - Unicorn Heads,"[-0.12062421 -0.10168193 -0.08867511 ... -0.04522481 -0.05136629
 -0.05682639]"
Disco Climax - An Jone,"[ 0.00076609  0.00098498  0.00081287 ... -0.00791505 -0.00877241
 -0.01483805]"
Disco Climax - An Jone,"[-0.00562139 -0.00269031 -0.00783988 ...  0.05387301  0.04395583
  0.04545072]"
Disco Climax - An Jone,"[-0.00334708 -0.00799108  0.00035187 ... -0.01358383 -0.01795684
  0.00244485]"
Don't Wanna Let Myself Down (Instrumental) - NEFFEX,"[ 1.0786249e-05 -2.1414432e-07 -1.2819094e-05 ...  9.0208306e-04
  3.2910190e-03  3.1570706e-03]"
Don't Wanna Let Myself Down (Instrumental) - NEFFEX,"[-0.00471293 -0.00270025  0.00277878 ...  0.0585862   0.04122519
  0.04453444]"
Don't Wanna Let Myself Down - NEFFEX,"[-1.4805627e-03 -6.5134472e-04  7.9930920e-05 ... -4.2638225e-03
  2.7371144e-03  3.9894707e-04]"
Don't Wanna Let Myself Down - NEFFEX,"[-0.07461832 -0.20151776 -0.04590701 ... -0.00580947 -0.00872746
 -0.00797993]"
Down With Your Getup - Mini Vandals,"[-1.2437436e-04 -2.2734122e-04 -9.2502101e-05 ...  1.2746744e-01
  1.3451241e-01  1.4657012e-01]"
Down With Your Getup - Mini Vandals,"[-0.0523814  -0.05125785 -0.05279914 ... -0.00471083  0.00419094
 -0.00704687]"
Dragón Rojo - Mini Vandals,"[ 0.00762772  0.00712542  0.00654135 ... -0.00558075 -0.00840756
 -0.01194308]"
Dragón Rojo - The Mini Vandals,"[ 0.00762772  0.00712542  0.00654135 ... -0.00558075 -0.00840756
 -0.01194308]"
Dreaming On (Instrumental) - NEFFEX,"[-8.2830638e-06 -7.4566719e-06 -4.7979197e-06 ...  4.6438240e-03
  1.3198359e-03  6.0443613e-03]"
